,experiment_name,number_of_iterations,optimal_value,start_objective,total_columns_generated,total_reduced_cost
0,CG_GA,16.0,146619.4643514275,147434.5043514275,267.0,-2340433.209282579
0,CG_GA,16.0,146619.4643514275,147434.5043514275,267.0,-2340433.209282579
0,CG_GA,30.0,149951.76008003473,151670.10008003408,400.0,-10137912.99095951
0,CG_GA,30.0,149951.76008003473,151670.10008003408,400.0,-10137912.99095951
0,CG_GA,13.0,144565.35792524312,145029.61392524312,304.0,-2343945.382370358
0,CG_GA,13.0,144565.35792524312,145029.61392524312,304.0,-2343945.382370358
0,CG_GA,14.0,148761.4897853409,149855.88978534102,226.0,-1792059.767827832
0,CG_GA,14.0,148761.4897853409,149855.88978534102,226.0,-1792059.767827832
0,CG_GA,15.0,149055.88925473514,150351.74665350543,246.0,-2033805.900636463
0,CG_GA,15.0,149055.88925473514,150351.74665350543,246.0,-2033805.900636463
0,CG_GA,13.0,149577.77806723813,150222.89806723813,179.0,-1463128.2876918588
0,CG_GA,13.0,149577.77806723813,150222.89806723813,179.0,-1463128.2876918588
0,CG_GA,22.0,149885.69134690493,151617.007096591,320.0,-3616585.159208425
0,CG_GA,22.0,149885.69134690493,151617.007096591,320.0,-3616585.159208425
0,CG_GA,13.0,152480.29599985667,153139.1582559332,207.0,-1880603.876548136
0,CG_GA,13.0,152480.29599985667,153139.1582559332,207.0,-1880603.876548136
0,CG_GA,13.0,148160.63628167892,148912.3162816789,211.0,-1810223.4337309408
0,CG_GA,13.0,148160.63628167892,148912.3162816789,211.0,-1810223.4337309408
0,CG_GA,13.0,147762.70132096685,148752.84532096685,182.0,-1522061.6265144704
0,CG_GA,13.0,147762.70132096685,148752.84532096685,182.0,-1522061.6265144704
0,CG_GA,14.0,148147.55562475903,149069.155624759,204.0,-1674128.9426917406
0,CG_GA,14.0,148147.55562475903,149069.155624759,204.0,-1674128.9426917406
0,CG_GA,26.0,147637.14756547374,148638.70279716232,380.0,-5736434.977077442
0,CG_GA,26.0,147637.14756547374,148638.70279716232,380.0,-5736434.977077442
0,CG_GA,14.0,146261.07032079838,146937.8703207984,312.0,-1645028.2422448574
0,CG_GA,14.0,146261.07032079838,146937.8703207984,312.0,-1645028.2422448574
0,CG_GA,14.0,149005.14316280538,149857.04716280542,207.0,-1684978.3493908588
0,CG_GA,14.0,149005.14316280538,149857.04716280542,207.0,-1684978.3493908588
0,CG_GA,12.0,149539.52956174652,150159.30556174653,159.0,-1258004.7746486033
0,CG_GA,12.0,149539.52956174652,150159.30556174653,159.0,-1258004.7746486033
0,CG_GA,14.0,147271.8333807826,148915.91738078257,289.0,-1935596.8650071595
0,CG_GA,14.0,147271.8333807826,148915.91738078257,289.0,-1935596.8650071595
0,CG_GA,23.0,146356.7529415302,147846.41694153016,318.0,-4418626.42939625
0,CG_GA,23.0,146356.7529415302,147846.41694153016,318.0,-4418626.42939625
0,CG_GA,14.0,148125.73052405534,149009.3145240554,245.0,-2081539.1605904724
0,CG_GA,14.0,148125.73052405534,149009.3145240554,245.0,-2081539.1605904724
0,CG_GA,15.0,144238.6791348862,144988.0551348862,245.0,-2279481.9532167427
0,CG_GA,15.0,144238.6791348862,144988.0551348862,245.0,-2279481.9532167427
0,CG_GA,12.0,148444.6543469629,149105.46967798966,169.0,-1413779.85931054
0,CG_GA,12.0,148444.6543469629,149105.46967798966,169.0,-1413779.85931054
0,CG_GA,23.0,149082.65999479746,150030.75599479675,321.0,-5501195.067802584
0,CG_GA,23.0,149082.65999479746,150030.75599479675,321.0,-5501195.067802584
0,CG_GA,12.0,152286.19811847186,152771.90944949866,161.0,-1468888.186122244
0,CG_GA,12.0,152286.19811847186,152771.90944949866,161.0,-1468888.186122244
0,CG_GA,19.0,148950.19494970172,149988.7021813903,304.0,-2692573.9879071205
0,CG_GA,19.0,148950.19494970172,149988.7021813903,304.0,-2692573.9879071205
