experiment_name,final_objective,number_of_iterations,start_objective,total_columns_generated,total_reduced_cost
1,106977.46556211336,331.0,147264.1997940628,5655.0,-6588927.710900052
10,108381.6559025854,317.0,148950.31974704648,5342.0,-7106946.873768237
11,111048.28928488882,1477.0,145818.88210079822,6523.0,-10157301.76248712
12,107622.6571602594,327.0,153098.54409169892,5447.0,-7530598.170777775
13,109891.51970395516,355.0,146229.97196741583,6729.0,-9114214.091183962
14,111175.55854502636,1201.0,148392.47147118335,7574.0,-8272778.039419202
15,111705.2953268676,388.0,149680.00645176,6056.0,-8940368.179112457
16,143991.1740864234,3.0,143991.1740864234,48.0,-214788.50719253632
17,106981.87651863098,1470.0,150643.83367467794,5997.0,-8149957.539181191
2,147758.82917168288,3.0,147758.82917168303,44.0,-203182.60185624537
3,110996.31828894842,369.0,147728.87728931216,6663.0,-8084323.109861028
4,105803.63712378888,317.0,151095.9482836707,5757.0,-8816859.939498035
5,112090.66959794404,441.0,147831.62446216232,7150.0,-8679048.114160914
6,110900.73417109804,347.0,148740.64804480164,5970.0,-10247123.55196656
7,105693.45980153026,333.0,151406.26111588196,5792.0,-6771240.21349008
8,151673.58371523145,3.0,151688.89239208004,67.0,-205864.99003053084
9,109455.13891405158,366.0,149018.53259231613,6519.0,-8532219.68295938
