,experiment_name,best_cost,best_fitness,best_r,best_s,best_u,best_v
0,CG_GA,110135.86408761074,9.9601593625498,10.0,32.0,61.0,75.0
0,CG_GA,110135.86408761074,9.9601593625498,10.0,32.0,61.0,75.0
0,CG_GA,113650.54503186676,5.537098560354375,51.0,39.0,143.0,81.0
0,CG_GA,113650.54503186676,5.537098560354375,51.0,39.0,143.0,81.0
0,CG_GA,115580.17728690903,10.869565217391305,3.0,38.0,44.0,81.0
0,CG_GA,115580.17728690903,10.869565217391305,3.0,38.0,44.0,81.0
0,CG_GA,112246.9000064214,10.989010989010987,0.0,40.0,46.0,79.0
0,CG_GA,112246.9000064214,10.989010989010987,0.0,40.0,46.0,79.0
0,CG_GA,107748.09895781384,11.235955056179778,0.0,32.0,54.0,73.0
0,CG_GA,107748.09895781384,11.235955056179778,0.0,32.0,54.0,73.0
0,CG_GA,111621.13256335144,8.896797153024911,22.0,32.0,69.0,75.0
0,CG_GA,111621.13256335144,8.896797153024911,22.0,32.0,69.0,75.0
0,CG_GA,117486.76102192343,7.78816199376947,35.0,36.0,74.0,81.0
0,CG_GA,117486.76102192343,7.78816199376947,35.0,36.0,74.0,81.0
0,CG_GA,118472.96302424467,10.183299389002038,0.0,52.0,42.0,87.0
0,CG_GA,118472.96302424467,10.183299389002038,0.0,52.0,42.0,87.0
0,CG_GA,116880.42495889358,10.37344398340249,6.0,43.0,43.0,83.0
0,CG_GA,116880.42495889358,10.37344398340249,6.0,43.0,43.0,83.0
0,CG_GA,108687.70293585848,11.904761904761903,0.0,33.0,44.0,74.0
0,CG_GA,108687.70293585848,11.904761904761903,0.0,33.0,44.0,74.0
0,CG_GA,113161.75005128834,10.1010101010101,7.0,36.0,56.0,78.0
0,CG_GA,113161.75005128834,10.1010101010101,7.0,36.0,56.0,78.0
0,CG_GA,118091.17113570432,6.849315068493151,37.0,38.0,98.0,83.0
0,CG_GA,118091.17113570432,6.849315068493151,37.0,38.0,98.0,83.0
0,CG_GA,118515.99761130226,9.765625,13.0,40.0,48.0,83.0
0,CG_GA,118515.99761130226,9.765625,13.0,40.0,48.0,83.0
0,CG_GA,116491.49194107822,10.460251046025103,7.0,41.0,44.0,81.0
0,CG_GA,116491.49194107822,10.460251046025103,7.0,41.0,44.0,81.0
0,CG_GA,117668.61969124417,11.086474501108649,1.0,44.0,37.0,83.0
0,CG_GA,117668.61969124417,11.086474501108649,1.0,44.0,37.0,83.0
0,CG_GA,121145.8927039341,10.416666666666666,2.0,51.0,35.0,89.0
0,CG_GA,121145.8927039341,10.416666666666666,2.0,51.0,35.0,89.0
0,CG_GA,113017.54938636954,6.435006435006435,36.0,39.0,117.0,80.0
0,CG_GA,113017.54938636954,6.435006435006435,36.0,39.0,117.0,80.0
0,CG_GA,115504.86090726429,10.845986984815616,4.0,40.0,42.0,81.0
0,CG_GA,115504.86090726429,10.845986984815616,4.0,40.0,42.0,81.0
0,CG_GA,116297.48514968176,11.547344110854503,0.0,41.0,35.0,82.0
0,CG_GA,116297.48514968176,11.547344110854503,0.0,41.0,35.0,82.0
0,CG_GA,112037.93493391787,10.2880658436214,6.0,39.0,51.0,79.0
0,CG_GA,112037.93493391787,10.2880658436214,6.0,39.0,51.0,79.0
0,CG_GA,118355.55956361826,6.983240223463686,43.0,37.0,89.0,82.0
0,CG_GA,118355.55956361826,6.983240223463686,43.0,37.0,89.0,82.0
0,CG_GA,118313.59011847193,10.799136069114471,0.0,47.0,38.0,85.0
0,CG_GA,118313.59011847193,10.799136069114471,0.0,47.0,38.0,85.0
0,CG_GA,115492.02738926286,7.204610951008645,39.0,32.0,93.0,78.0
0,CG_GA,115492.02738926286,7.204610951008645,39.0,32.0,93.0,78.0
