experiment_name,best_cost,best_fitness,best_r,best_s,best_u,best_v
1,1558287.085476257,637.7842117268702,2978.0,763.0,0.0,1300.0
10,1496551.712231738,699.2441738158833,2780.0,769.0,0.0,1268.0
11,1536684.5001167692,677.2225848212136,2873.0,787.0,0.0,1294.0
12,1515405.351489187,763.5663322043657,2783.0,793.0,0.0,1285.0
13,1468988.2361678432,588.7490313123922,2698.0,773.0,0.0,1245.0
14,1486741.0966277416,627.6608670603384,2767.0,753.0,0.0,1252.0
15,1518864.2941486505,788.395604462631,2800.0,759.0,0.0,1273.0
16,1480147.120849817,661.1627318862661,2719.0,775.0,0.0,1256.0
17,1534199.4053382103,569.068037049492,2884.0,806.0,0.0,1297.0
2,1455447.0428612,625.1552381906732,2703.0,711.0,0.0,1218.0
3,1507973.7966634678,681.2981347532972,2784.0,782.0,0.0,1274.0
4,1522091.933273565,636.509918021889,2876.0,764.0,0.0,1280.0
5,1458147.1699676416,555.572992451403,2745.0,722.0,0.0,1226.0
6,1528050.114262817,599.4424660676314,2881.0,786.0,0.0,1289.0
7,1545645.7767912624,655.8945309320353,2966.0,749.0,0.0,1292.0
8,1470592.5154904218,563.405715472814,2784.0,713.0,0.0,1230.0
9,1497616.56862728,827.1615329889921,2783.0,725.0,0.0,1255.0
