Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_5_zmin_50_k_30_i_10,2025-08-09 19:19:51,174036.02,119,inf,0.3793,0.058,68.7923,0.002,69.2323
2,exp_5_zmin_50_k_30_i_10,2025-08-09 19:21:00,174036.02,149,0.0,0.4072,0.058,74.3012,0.003,74.7704
3,exp_5_zmin_50_k_30_i_10,2025-08-09 19:22:15,174036.02,179,0.0,0.4485,0.0581,67.3957,0.0033,67.9085
4,exp_5_zmin_50_k_30_i_10,2025-08-09 19:23:23,173726.13,209,309.89,0.516,0.058,82.7281,0.003,83.3071
5,exp_5_zmin_50_k_30_i_10,2025-08-09 19:24:46,173416.25,239,309.89,0.6512,0.0567,88.7433,0.0035,89.4566
6,exp_5_zmin_50_k_30_i_10,2025-08-09 19:26:16,173416.25,269,0.0,0.669,0.0576,99.8791,0.003,100.6101
7,exp_5_zmin_50_k_30_i_10,2025-08-09 19:27:57,173416.25,299,0.0,0.7333,0.0566,84.0652,0.0035,84.8601
8,exp_5_zmin_50_k_30_i_10,2025-08-09 19:29:21,173416.25,329,0.0,0.7794,0.0696,70.617,0.0031,71.469
9,exp_5_zmin_50_k_30_i_10,2025-08-09 19:30:33,173416.25,353,0.0,0.8477,0.0576,72.2835,0.004,73.1927
10,exp_5_zmin_50_k_30_i_10,2025-08-09 19:31:46,173416.25,383,0.0,0.8983,0.0596,51.4314,0.0028,52.3927
11,exp_5_zmin_50_k_30_i_10,2025-08-09 19:32:39,173375.93,403,40.32,1.0327,0.0573,57.7371,0.003,58.8307
12,exp_5_zmin_50_k_30_i_10,2025-08-09 19:33:38,173375.93,433,0.0,1.0401,0.0575,77.4348,0.002,78.5364
13,exp_5_zmin_50_k_30_i_10,2025-08-09 19:34:56,173335.61,452,40.32,1.3296,0.074,79.2262,0.003,80.6348
14,exp_5_zmin_50_k_30_i_10,2025-08-09 19:36:17,173335.61,482,0.0,1.3228,0.064,104.3341,0.003,105.7249
15,exp_5_zmin_50_k_30_i_10,2025-08-09 19:38:03,173335.61,512,0.0,1.3356,0.0,0.0,0.0,1.3366
