,experiment_name,1_initial_solution,2_graph_build,3_column_generation,4_first_ga,1_1_initial_solution,2_2_graph_build,3_3_column_generation,4_4_first_ga
0,CG_GA,6.22384524345398,5.57245397567749,106.04491543769836,555.5357706546783,,,,
0,CG_GA,,,,,6.22384524345398,5.57245397567749,106.04491543769836,555.5357706546783
0,CG_GA,11.455643892288208,7.073497295379639,290.8559105396271,753.1010222434998,,,,
0,CG_GA,,,,,11.455643892288208,7.073497295379639,290.8559105396271,753.1010222434998
0,CG_GA,11.474145650863647,7.213027238845825,114.38071751594543,605.4461119174957,,,,
0,CG_GA,,,,,11.474145650863647,7.213027238845825,114.38071751594543,605.4461119174957
0,CG_GA,6.165298223495483,5.62651515007019,94.50899124145508,500.6190493106842,,,,
0,CG_GA,,,,,6.165298223495483,5.62651515007019,94.50899124145508,500.6190493106842
0,CG_GA,6.84044361114502,5.6204564571380615,104.40429878234865,520.5386633872986,,,,
0,CG_GA,,,,,6.84044361114502,5.6204564571380615,104.40429878234865,520.5386633872986
0,CG_GA,6.587351799011231,5.630694389343262,85.851482629776,488.855348110199,,,,
0,CG_GA,,,,,6.587351799011231,5.630694389343262,85.851482629776,488.855348110199
0,CG_GA,6.97982668876648,6.818707704544067,161.6648552417755,583.4026172161102,,,,
0,CG_GA,,,,,6.97982668876648,6.818707704544067,161.6648552417755,583.4026172161102
0,CG_GA,6.6565587520599365,6.648305177688599,87.78721261024475,502.7995810508728,,,,
0,CG_GA,,,,,6.6565587520599365,6.648305177688599,87.78721261024475,502.7995810508728
0,CG_GA,6.5530102252960205,5.723883390426636,86.37075328826904,499.18684697151184,,,,
0,CG_GA,,,,,6.5530102252960205,5.723883390426636,86.37075328826904,499.18684697151184
0,CG_GA,6.760800838470459,5.707599401473999,88.70992088317871,475.78419184684753,,,,
0,CG_GA,,,,,6.760800838470459,5.707599401473999,88.70992088317871,475.78419184684753
0,CG_GA,8.528388023376465,7.159323453903198,125.73772716522215,490.3311188220978,,,,
0,CG_GA,,,,,8.528388023376465,7.159323453903198,125.73772716522215,490.3311188220978
0,CG_GA,7.079883098602295,5.697922945022583,178.06468200683594,628.3409621715546,,,,
0,CG_GA,,,,,7.079883098602295,5.697922945022583,178.06468200683594,628.3409621715546
0,CG_GA,7.344313383102417,6.655435800552368,96.26724529266356,562.8770558834076,,,,
0,CG_GA,,,,,7.344313383102417,6.655435800552368,96.26724529266356,562.8770558834076
0,CG_GA,12.862855911254885,5.807305574417114,109.29976105690002,499.4897668361664,,,,
0,CG_GA,,,,,12.862855911254885,5.807305574417114,109.29976105690002,499.4897668361664
0,CG_GA,9.7707622051239,5.76623010635376,82.84694814682007,469.8134870529175,,,,
0,CG_GA,,,,,9.7707622051239,5.76623010635376,82.84694814682007,469.8134870529175
0,CG_GA,14.049280881881714,5.685618877410889,114.32647562026978,531.1431548595428,,,,
0,CG_GA,,,,,14.049280881881714,5.685618877410889,114.32647562026978,531.1431548595428
0,CG_GA,9.853976726531982,6.235466718673706,180.3876976966858,796.8074011802673,,,,
0,CG_GA,,,,,9.853976726531982,6.235466718673706,180.3876976966858,796.8074011802673
0,CG_GA,9.779969930648804,6.4297871589660645,138.42908644676208,631.3592236042023,,,,
0,CG_GA,,,,,9.779969930648804,6.4297871589660645,138.42908644676208,631.3592236042023
0,CG_GA,10.576218128204346,6.03871750831604,123.65553665161131,624.5179183483124,,,,
0,CG_GA,,,,,10.576218128204346,6.03871750831604,123.65553665161131,624.5179183483124
0,CG_GA,10.511821508407593,6.719878673553467,109.34876012802124,525.2457642555237,,,,
0,CG_GA,,,,,10.511821508407593,6.719878673553467,109.34876012802124,525.2457642555237
0,CG_GA,12.889224290847778,7.45555305480957,212.92093181610107,623.5795681476593,,,,
0,CG_GA,,,,,12.889224290847778,7.45555305480957,212.92093181610107,623.5795681476593
0,CG_GA,6.6135852336883545,5.598808765411377,80.98925971984863,474.0710401535034,,,,
0,CG_GA,,,,,6.6135852336883545,5.598808765411377,80.98925971984863,474.0710401535034
0,CG_GA,6.445293664932251,5.678898811340332,130.44232320785522,558.0282974243164,,,,
0,CG_GA,,,,,6.445293664932251,5.678898811340332,130.44232320785522,558.0282974243164
